Scale,EdgeProfile,RobustProfile,Method,NumDUs,NumUEs,NumRBGs,NumTxAntennas,NumRxAntennas,InnerMaxIter,InnerIterations,InnerConverged,InnerStopReason,PopulationSize,MaxEvaluations,Evaluations,RuntimeSeconds,EstimatedObjective,EstimatedScore,EstimatedMeanExperienceRate,EstimatedEdgeExperienceRate5,TrueObjective,TrueMeanExperienceRate,TrueEdgeExperienceRate5,TrueMinExperienceRate,TrueRate5,TrueRate10,TrueJain,TotalPower,ActiveLinks,ActiveStreams,RuntimePerEvaluation,LinkScale,AntennaLinkScale,NumEdgeUsers,EdgeUserRatio,MeanEdgeExperienceRate,MeanNonEdgeExperienceRate,ActiveEdgeLinks,ActiveNonEdgeLinks,RobustEnabled,MeanErrorVariance,MeasuredFraction,ReferenceLabel,MeanExperienceLossPct,EdgeExperienceRatioToReference,PowerReductionPct
probe,non_edge_aware,nonrobust,basic,21,21,4,8,2,35,0,0,not_run,2,2,1,0.0964379,394.817854684081,910.185319823154,0,0,384.908960541096,0,0,0,13.2809179846704,14.6320910377287,0.968888737428302,83,168,168,0.0964379,1764,14112,21,1,0,NaN,168,0,0,0.373055304241882,1,non_edge_aware/nonrobust/inner,0,0,-11.5608624121051
probe,non_edge_aware,nonrobust,inner,21,21,4,8,2,35,35,0,max_iter,2,2,1,3.3166795,341.080676930002,115.335706243178,0,0,326.291935233926,0,0,0,6.42629642551872,6.99329672607628,0.807821833849323,74.398851179008,134,168,3.3166795,1764,14112,21,1,0,NaN,134,0,0,0.373055304241882,1,non_edge_aware/nonrobust/inner,0,0,0
probe,non_edge_aware,nonrobust,GA,21,21,4,8,2,35,35,0,max_iter,2,2,2,6.7077454,290.860981683367,256.006348168312,0,0,281.029514637372,0,0,0,8.76139643415185,9.73642960467299,0.956750337394629,51.771067006228,128,168,3.3538727,1764,14112,21,1,0,NaN,128,0,0,0.373055304241882,1,non_edge_aware/nonrobust/inner,0,0,30.4141580336184
probe,non_edge_aware,nonrobust,PSO,21,21,4,8,2,35,35,0,max_iter,2,2,2,6.8978888,290.860981683367,256.006348168312,0,0,281.029514637372,0,0,0,8.76139643415185,9.73642960467299,0.956750337394629,51.771067006228,128,168,3.4489444,1764,14112,21,1,0,NaN,128,0,0,0.373055304241882,1,non_edge_aware/nonrobust/inner,0,0,30.4141580336184
probe,non_edge_aware,nonrobust,GA+PSO,21,21,4,8,2,35,35,0,max_iter,2,2,2,6.8697787,290.860981683367,256.006348168312,0,0,281.029514637372,0,0,0,8.76139643415185,9.73642960467299,0.956750337394629,51.771067006228,128,168,3.43488935,1764,14112,21,1,0,NaN,128,0,0,0.373055304241882,1,non_edge_aware/nonrobust/inner,0,0,30.4141580336184
probe,non_edge_aware,nonrobust,PSO+GA,21,21,4,8,2,35,35,0,max_iter,2,2,2,6.7454721,290.860981683367,256.006348168312,0,0,281.029514637372,0,0,0,8.76139643415185,9.73642960467299,0.956750337394629,51.771067006228,128,168,3.37273605,1764,14112,21,1,0,NaN,128,0,0,0.373055304241882,1,non_edge_aware/nonrobust/inner,0,0,30.4141580336184
probe,non_edge_aware,nonrobust,PGSAO,21,21,4,8,2,35,35,0,max_iter,2,2,2,6.5667246,290.860981683367,256.006348168312,0,0,281.029514637372,0,0,0,8.76139643415185,9.73642960467299,0.956750337394629,51.771067006228,128,168,3.2833623,1764,14112,21,1,0,NaN,128,0,0,0.373055304241882,1,non_edge_aware/nonrobust/inner,0,0,30.4141580336184
probe,non_edge_aware,robust,basic,21,21,4,8,2,35,0,0,not_run,2,2,1,0.0951354,394.817854684081,910.185319823154,0,0,384.908960541096,0,0,0,13.2809179846704,14.6320910377287,0.968888737428302,83,168,168,0.0951354,1764,14112,21,1,0,NaN,168,0,1,0.373055304241882,1,non_edge_aware/robust/inner,0,0,-13.8816305211767
probe,non_edge_aware,robust,inner,21,21,4,8,2,35,35,0,max_iter,2,2,1,3.7174955,343.874707070634,85.5533850714733,0,0,332.120866363462,0,0,0,7.34314521012427,7.90075594032779,0.795481785285547,72.8826937409944,136,168,3.7174955,1764,14112,21,1,0,NaN,136,0,1,0.373055304241882,1,non_edge_aware/robust/inner,0,0,0
probe,non_edge_aware,robust,GA,21,21,4,8,2,35,35,0,max_iter,2,2,2,7.5919615,282.777793396915,-503.640811989396,0,0,279.470487391144,0,0,0,6.00076796220027,6.01344646927221,0.731076167108723,75.8638169983214,125,157,3.79598075,1764,14112,21,1,0,NaN,125,0,1,0.373055304241882,1,non_edge_aware/robust/inner,0,0,-4.09030334131331
probe,non_edge_aware,robust,PSO,21,21,4,8,2,35,35,0,max_iter,2,2,2,7.415016,282.777793396915,-503.640811989396,0,0,279.470487391144,0,0,0,6.00076796220027,6.01344646927221,0.731076167108723,75.8638169983214,125,157,3.707508,1764,14112,21,1,0,NaN,125,0,1,0.373055304241882,1,non_edge_aware/robust/inner,0,0,-4.09030334131331
probe,non_edge_aware,robust,GA+PSO,21,21,4,8,2,35,35,0,max_iter,2,2,2,7.7898105,282.777793396915,-503.640811989396,0,0,279.470487391144,0,0,0,6.00076796220027,6.01344646927221,0.731076167108723,75.8638169983214,125,157,3.89490525,1764,14112,21,1,0,NaN,125,0,1,0.373055304241882,1,non_edge_aware/robust/inner,0,0,-4.09030334131331
probe,non_edge_aware,robust,PSO+GA,21,21,4,8,2,35,35,0,max_iter,2,2,2,8.0983683,282.777793396915,-503.640811989396,0,0,279.470487391144,0,0,0,6.00076796220027,6.01344646927221,0.731076167108723,75.8638169983214,125,157,4.04918415,1764,14112,21,1,0,NaN,125,0,1,0.373055304241882,1,non_edge_aware/robust/inner,0,0,-4.09030334131331
probe,non_edge_aware,robust,PGSAO,21,21,4,8,2,35,35,0,max_iter,2,2,2,7.5196593,282.777793396915,-503.640811989396,0,0,279.470487391144,0,0,0,6.00076796220027,6.01344646927221,0.731076167108723,75.8638169983214,125,157,3.75982965,1764,14112,21,1,0,NaN,125,0,1,0.373055304241882,1,non_edge_aware/robust/inner,0,0,-4.09030334131331
